athleteCountryCode,nameAndEvent,price
IND,Aishwarya Kailash Mishra (400m),$3270000
CHN,Xiaojing Liang (100m),$3250000
CAN,Aiyanna Stiverne (400m),$3240000
GBR,Nicole Yeargin (400m),$3240000
GAM,Gina Bass (200m),$3230000
GBR,Zoey Clark (400m),$3230000
NED,Eveline Saalberg (400m),$3230000
GBR,Beth Dobbin (200m),$3220000
POL,Iga Baumgart-Witan (400m),$3220000
GBR,Imani Lansiquot (100m),$3210000
GBR,Ama Pipi (400m),$3210000
NGR,Imaobong Uko (400m),$3210000
PAN,Gianna Woodruff (400m Hurdles),$3200000
ESP,Sara Gallego (400m Hurdles),$3170000
CAN,Lauren Gale (400m),$3160000
ITA,Zaynab Dosso (100m),$3140000
ECU,Gabriela Anahi Suarez (200m),$3140000
CAN,Khamica Bingham (100m),$3130000
CUB,Greisys L. Roble (100m Hurdles),$3120000
JPN,Mako Fukube (100m Hurdles),$3120000
UKR,Viktoriya Tkachuk (400m Hurdles),$3080000
POR,Lorène Bazolo (100m),$3050000
AUS,Ella Connolly (200m),$3040000
CAN,Natassha McDonald (400m),$3040000
POR,Lorène Bazolo (200m),$3030000
AUS,Michelle Jenneke (100m Hurdles),$3020000
ITA,Alice Mangione (400m),$3000000
AUS,Celeste Mucci (100m Hurdles),$3000000
SUI,Géraldine Frey (100m),$2980000
RSA,Miranda Charlene Coetzee (400m),$2980000
BRA,Tiffani Marinho (400m),$2970000
CAN,Kyra Constantine (400m),$2970000
MEX,Paola Morán (400m),$2970000
CYP,Olivia Fotopoulou (200m),$2960000
ITA,Elisa di Lazzaro (100m Hurdles),$2960000
ITA,Ayomide Folorunso (400m Hurdles),$2930000
PUR,Paola Vazquez (100m Hurdles),$2920000
GER,Alexandra Burghardt (100m),$2820000
BEL,Camille Laus (400m),$2820000
GBR,Lina Nielsen (400m Hurdles),$2820000
BRA,Lorraine Martins (200m),$2810000
KAZ,Olga Safronova (200m),$2790000
SLO,Anita Horvat (400m),$2790000
BEL,Naomi Van Den Broeck (400m),$2780000
LAT,Gunta Vaičule (400m),$2760000
COL,Melissa González (400m Hurdles),$2760000
FIN,Viivi Lehikoinen (400m Hurdles),$2760000
LUX,Patrizia van der Weken (100m),$2750000
GER,Jessica-Bianca Wessolly (200m),$2730000
NOR,Amalie Iuel (400m Hurdles),$2720000
CAN,Crystal Emmanuel (100m),$2710000
BEL,Imke Vervaet (200m),$2700000
IRL,Sophie Becker (400m),$2700000
KAZ,Olga Safronova (100m),$2680000
NZL,Georgia Hulls (200m),$2640000
