athleteCountryCode,nameAndEvent,price
RSA,Wayne Snyman (35K Racewalk),$4820000
KEN,Barnabas Kiptum (Marathon),$4800000
ETH,Teddese Lemi (1500m),$4780000
UGA,Peter Maru (5000m),$4770000
GER,Frederik Ruppert (3000m Steeplechase),$4770000
ESP,Mohamed Katir (1500m),$4770000
BRA,Caio Bonfim (20K Racewalk),$4740000
TUN,Mohamed Amin Jhinaoui (3000m Steeplechase),$4670000
POR,João Vieira (35K Racewalk),$4670000
GBR,Jake Heyward (1500m),$4670000
THA,Kieran Tuntivate (5000m),$4660000
ESP,Víctor Ruiz (3000m Steeplechase),$4660000
ESP,Sebastián Martos (3000m Steeplechase),$4660000
ESP,Saúl Ordóñez (800m),$4630000
MAR,Mohamed El Aaraby (Marathon),$4610000
ERI,Oqbe Ruesom (Marathon),$4590000
MAR,Othmane El Goumri (Marathon),$4580000
ISR,Maru Teferi (Marathon),$4580000
RSA,Adriaan Wildschutt (5000m),$4560000
SVK,Miroslav Úradník (35K Racewalk),$4550000
GER,Marc Reuther (800m),$4530000
MAR,Mohamed Tindouft (3000m Steeplechase),$4520000
UGA,Oscar Chelimo (5000m),$4510000
BRA,Caio Bonfim (35K Racewalk),$4510000
IRL,Mark English (800m),$4490000
MAR,Soufiyan Bouqantar (5000m),$4460000
USA,Conner Mantz (5000m),$4460000
ERI,Filmon Ande (Marathon),$4460000
MAR,Abdellatif Sadiki (1500m),$4460000
BDI,Olivier Irabaruta (Marathon),$4440000
LUX,Charles Grethen (1500m),$4430000
JPN,Hyuga Endo (5000m),$4420000
MAR,Hamza Sahli (Marathon),$4420000
FIN,Topi Raitanen (3000m Steeplechase),$4410000
BEL,Eliott Crestan (800m),$4400000
CAN,William Paulson (1500m),$4400000
USA,Benard Keter (3000m Steeplechase),$4390000
BEL,Ismael Debjani (1500m),$4390000
TUN,Ahmed Jaziri (3000m Steeplechase),$4380000
USA,Duncan Hamilton (3000m Steeplechase),$4360000
SWE,Perseus Karlström (20K Racewalk),$4360000
ETH,Milkesa Mengesha (10000m),$4350000
UGA,Ronald Musagala (1500m),$4350000
SWE,Vidar Johansson (3000m Steeplechase),$4320000
ETH,Samuel Zeleke (1500m),$4300000
ALG,Hichem Bouchicha (3000m Steeplechase),$4290000
JPN,Gaku Hoshi (Marathon),$4280000
CAN,John Gay (3000m Steeplechase),$4270000
MAR,Salaheddine Yazid (3000m Steeplechase),$4270000
AUS,Ben Buckingham (3000m Steeplechase),$4260000
SWE,Perseus Karlström (35K Racewalk),$4250000
NZL,George Beamish (5000m),$4230000
NZL,Samuel Tanner (1500m),$4230000
AUS,Edward Trippas (3000m Steeplechase),$4220000
JPN,Ryoma Aoki (3000m Steeplechase),$4220000
CAN,Ryan Smeeton (3000m Steeplechase),$4220000
DJI,Ibrahim Hassan (Marathon),$4220000
CAN,Charles Philibert-Thiboutot (5000m),$4200000
ALG,Bilal Tabti (3000m Steeplechase),$4170000
KEN,Kumari Taki (1500m),$4160000
POL,Michał Rozmys (1500m),$4150000
JPN,Yusuke Nishiyama (Marathon),$4140000
NZL,Brad Mathas (800m),$4120000
FIN,Veli-Matti Partanen (35K Racewalk),$4120000
CHN,Lihong Cui (20K Racewalk),$4090000
MAR,Hicham Akankam (5000m),$4060000
USA,Cooper Teare (1500m),$4060000
GBR,Neil Gourley (1500m),$4050000
ERI,Yemane Haileselassie (3000m Steeplechase),$4040000
NOR,Jacob Boutera (3000m Steeplechase),$4040000
ISR,Haimro Almaya (Marathon),$3990000
BRN,Birhanu Balew (10000m),$3980000
JPN,Kosei Yamaguchi (3000m Steeplechase),$3980000
USA,Johnny Gregorek (1500m),$3970000
ESP,Ignacio Fontes (1500m),$3940000
GUA,Luis Grijalva (5000m),$3920000
BEL,Ruben Verheyden (1500m),$3920000
NOR,Narve Nordås (5000m),$3910000
CAN,Jean-Simon Desgagnés (3000m Steeplechase),$3910000
ESP,Diego García Carrera (20K Racewalk),$3910000
POL,Artur Brzozowski (35K Racewalk),$3900000
KEN,Charles Simotwo (1500m),$3900000
RWA,Yves Nimubona (5000m),$3890000
DJI,Mohamed Ibrahim (3000m Steeplechase),$3890000
FRA,Hassan Chahdi (Marathon),$3880000
IRL,David Kenny (20K Racewalk),$3870000
CAN,Charles Philibert-Thiboutot (1500m),$3870000
ESP,Álvaro Martín (20K Racewalk),$3860000
RSA,Mafori Ryan Mphahlele (1500m),$3860000
KAZ,Georgiy Sheiko (35K Racewalk),$3850000
BRA,Altobelli Silva (3000m Steeplechase),$3830000
