athleteCountryCode,nameAndEvent,price
NOR,Hedda Hynne (800m),$4090000
KEN,Naomi Korir (800m),$4090000
ETH,Ejgayehu Taye (10000m),$4090000
KEN,Margaret Chelimo Kipkemboi (10000m),$4080000
FIN,Elisa Neuvonen (35K Racewalk),$4060000
KAZ,Caroline Kipkirui (5000m),$4050000
ITA,Gaia Sabbatini (1500m),$4050000
USA,Stephanie Casey (35K Racewalk),$4020000
ETH,Bosena Mulatie (10000m),$4020000
ETH,Girmawit Gebrzihair (10000m),$4010000
USA,Karissa Schweizer (10000m),$3980000
SLO,Anita Horvat (800m),$3970000
GBR,Ellie Baker (800m),$3960000
GER,Christina Hering (800m),$3950000
CHN,Zhenxia Ma (20K Racewalk),$3940000
USA,Alicia Monson (10000m),$3940000
TUN,Marwa Bouzayani (3000m Steeplechase),$3920000
JAM,Adelle Tracey (800m),$3920000
MEX,Aura Morales (35K Racewalk),$3910000
SUI,Lore Hoffmann (800m),$3910000
JAM,Adelle Tracey (1500m),$3910000
BEN,Noélie Yarigo (800m),$3900000
USA,Weini Kelati Frezghi (5000m),$3890000
KEN,Edinah Jebitok (1500m),$3890000
POL,Sofia Ennaoui (1500m),$3890000
GBR,Jessica Judd (5000m),$3880000
KEN,Margaret Chelimo Kipkemboi (5000m),$3870000
ETH,Zerfe Wondemagegn (3000m Steeplechase),$3860000
BRA,Tatiane Raquel da Silva (3000m Steeplechase),$3850000
UKR,Nataliya Strebkova (3000m Steeplechase),$3840000
IRL,Sarah Healy (1500m),$3840000
GER,Majtie Kolberg (800m),$3820000
KAZ,Galina Yakusheva (35K Racewalk),$3810000
USA,Emma Bates (Marathon),$3810000
USA,Gabbi Jennings (3000m Steeplechase),$3800000
KEN,Gloria Kite (5000m),$3790000
GBR,Aimee Pratt (3000m Steeplechase),$3760000
USA,Kellyn Taylor (Marathon),$3750000
GER,Lea Meyer (3000m Steeplechase),$3750000
AUS,Jessica Hull (5000m),$3750000
CZE,Kristiina Mäki (1500m),$3750000
ERI,Rahel Daniel (10000m),$3740000
KEN,Winny Chebet (1500m),$3740000
RSA,Dominique Scott (10000m),$3730000
GBR,Melissa Courtney-Bryant (1500m),$3720000
ITA,Federica Del Buono (1500m),$3720000
GER,Hanna Klein (1500m),$3710000
GER,Konstanze Klosterhalfen (10000m),$3700000
GBR,Katie Snowden (1500m),$3690000
SVK,Hana Burzalová (35K Racewalk),$3680000
NED,Maureen Koster (5000m),$3680000
USA,Emily Infeld (5000m),$3630000
KEN,Judith Kiyeng (1500m),$3630000
UGA,Esther Chebet (5000m),$3600000
BRA,Mayara Luize Vicentainer (35K Racewalk),$3590000
FIN,Eveliina Määttänen (800m),$3590000
BRA,Elianay Pereira (35K Racewalk),$3580000
AUS,Amy Cashin (3000m Steeplechase),$3570000
AUS,Abbey Caldwell (1500m),$3570000
CAN,Lucia Stafford (1500m),$3560000
JPN,Nozomi Tanaka (1500m),$3560000
PER,Kimberly García León (20K Racewalk),$3550000
CAN,Addy Townsend (800m),$3540000
GER,Katharina Trost (1500m),$3540000
ARG,Belén Casetta (3000m Steeplechase),$3520000
BEL,Elise Vanderelst (1500m),$3520000
JPN,Nozomi Tanaka (5000m),$3510000
AUS,Tess Kirsopp-Cole (800m),$3480000
ITA,Sintayehu Vissa (1500m),$3480000
MAR,Assia Raziki (800m),$3460000
SRI,Gayanthika Artigala (800m),$3460000
SWE,Sarah Lahti (5000m),$3460000
KAZ,Caroline Kipkirui (10000m),$3460000
VIN,Shafiqua Maloney (800m),$3450000
UGA,Stella Chesang (10000m),$3450000
KEN,Purity Kirui (3000m Steeplechase),$3440000
USA,Maria Michta-Coffey (35K Racewalk),$3430000
GER,Alina Reh (5000m),$3420000
JPN,Ririka Hironaka (5000m),$3420000
UGA,Mercyline Chelangat (10000m),$3420000
USA,Natosha Rogers (10000m),$3410000
MEX,Laura Galván (1500m),$3410000
KAZ,Polina Repina (35K Racewalk),$3390000
CAN,Regan Yee (3000m Steeplechase),$3380000
JPN,Kumiko Okada (20K Racewalk),$3370000
AUS,Natalie Rule (5000m),$3370000
ESP,Marta Pérez (1500m),$3370000
CAN,Ceili McCabe (3000m Steeplechase),$3360000
ESP,Irene Sánchez-Escribano (3000m Steeplechase),$3340000
