ageGroup,ageGroupIdFk,athleteCountryCode,athleteIdFk,bestRecord,bibNumber,combinedEventScoreCalculated,firstName,gender,groupNo,imgVariants,initialPb,initialPbImperial,initialSb,initialSbImperial,laneRow,laneStacked,lastName,position,price,promotion,relayTeamNational,s3ImgUuid,seImplementIdFk,seedingPromotion,startStatus,eventIdFk,event,nameAndEvent
Senior,23,GRE,1579,None,,,Miltiadis,Male,0,1,860,33850,855,33650,1,,Tentoglou,14,$7060000,N,,1579_1565514316798,40,N,Ok,41,Long Jump,Miltiadis Tentoglou (Long Jump)
Senior,23,ETH,84962,None,,,Gotytom,Female,0,,82980000,82980000,82980000,82980000,1,,Gebreslase,16,$7060000,N,,,178,N,Ok,25,Marathon,Gotytom Gebreslase (Marathon)
Senior,23,KEN,813,None,,,Faith,Female,0,1,2310700,2310700,2325900,2325900,1,,Kipyegon,31,$7060000,N,,813_1624521467794,174,N,Ok,21,1500m,Faith Kipyegon (1500m)
Senior,23,USA,3366,None,,,Noah,Male,0,1,195000,195000,196100,196100,1,,Lyles,54,$7040000,N,,3366_1562680321969,2,N,Ok,2,200m,Noah Lyles (200m)
Senior,23,BRN,4819,None,,,Winfred,Female,0,1,5365500,5365500,5365500,5365500,1,,Yavi,9,$7040000,N,,4819_1656580216142,177,N,Ok,24,3000m Steeplechase,Winfred Yavi (3000m Steeplechase)
Senior,23,UGA,1588,None,,,Joshua,Male,0,1,7553600,7553600,7779900,7779900,1,,Cheptegei,43,$7020000,N,,1588_1621852944510,27,N,Ok,22,5000m,Joshua Cheptegei (5000m)
Senior,23,KOR,1320,None,,,Sang-Hyeok,Male,0,,236,9275,236,9275,1,,Woo,19,$7020000,N,,,39,N,Ok,40,High Jump,Sang-Hyeok Woo (High Jump)
Senior,23,KAZ,4271,None,,,Norah,Female,0,,5336500,5336500,5379700,5379700,1,,Jeruto,30,$7020000,N,,,177,N,Ok,24,3000m Steeplechase,Norah Jeruto (3000m Steeplechase)
Senior,23,JAM,103,None,,,Yohan,Male,0,,96900,96900,98500,98500,1,,Blake,42,$7000000,N,,7e814258-a3ea-4dde-9a92-54a25982628a,1,N,Ok,1,100m,Yohan Blake (100m)
Senior,23,ETH,1460,None,,,Selemon,Male,0,1,7630200,7630200,7748700,7748700,1,,Barega,14,$7000000,N,,1460_1613762702154,27,N,Ok,22,5000m,Selemon Barega (5000m)
Senior,23,JPN,45145,None,,,Masatora,Male,0,,88000000,88000000,88000000,88000000,1,,Kawano,31,$6990000,N,,,1314,N,Ok,2234,35K Racewalk,Masatora Kawano (35K Racewalk)
Senior,23,POR,2380,None,,,Auriol,Female,0,1,2043,80425,2043,80425,1,,Dongmo,21,$6990000,N,,2380_1498489205462,190,N,Ok,50,Shot Put,Auriol Dongmo (Shot Put)
Senior,23,ISR,13095,None,,,Lonah,Female,0,,82650000,82650000,83250000,83250000,1,,Chemtai Salpeter,23,$6950000,N,,,178,N,Ok,25,Marathon,Lonah Chemtai Salpeter (Marathon)
